ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus,URL,Genus2
ACD37375,10786,Feline panleukopenia virus,EU659111.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1,Carnivore protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/EU659111.1,Protoparvovirus
AEX30511,1131622,Porcine bocavirus 5/JS677,JN831651.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JN831651.1,Bocaparvovirus
AAO32086,219704,Avian adeno-associated virus ATCC VR-865,AY186198.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependovirus,unclassified Dependovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY186198.1,Dependoparvovirus
ADM26648,1511922,Chimpanzee parv4,HQ113143.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/HQ113143.1,Tetraparvovirus
ACF94533,1511921,Human parv4 G3 (NG-OR),EU874248.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/EU874248.1,Tetraparvovirus
ABK00521,1511920,Human parv4 G2 (C25-5),DQ873391.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/DQ873391.1,Tetraparvovirus
AAU88153,1511919,Human parvovirus 4 G1,AY622943.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY622943.1,Tetraparvovirus
ADM26648,1511922,Chimpanzee parv4,HQ113143.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/HQ113143.1,Tetraparvovirus
AAU88153,1511919,Human parvovirus 4 G1,AY622943.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY622943.1,Tetraparvovirus
ABK00521,1511920,Human parv4 G2 (C25-5),DQ873391.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/DQ873391.1,Tetraparvovirus
ACF94533,1511921,Human parv4 G3 (NG-OR),EU874248.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/EU874248.1,Tetraparvovirus
AAC40229,10796,Porcine parvovirus,U44978.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1,Ungulate protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/U44978.1,Protoparvovirus
AEQ76796,1096142,Ovine hokovirus,JF504699.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4,Ungulate tetraparvovirus 4,http://www.ncbi.nlm.nih.gov/nuccore/JF504699.1,Tetraparvovirus
ABY67682,494651,Bovine hokovirus 1,EU200669.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1,Ungulate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/EU200669.1,Tetraparvovirus
AAL09673,172297,Bovine parvovirus 3,AF406967.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1,Ungulate erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AF406967.1,Erythroparvovirus
AAA66612,28314,Aleutian mink disease virus,M20036.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/M20036.1,Amdoparvovirus
AID57413,1513315,Raccoon dog amdovirus,KJ396347.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus,unclassified Amdoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KJ396347.1,Amdoparvovirus
ADP36995,912967,Bocavirus pig/SX/China/2010,HQ223038.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX,Ungulate bocaparvovirus 3,http://www.ncbi.nlm.nih.gov/nuccore/HQ223038.1,Bocaparvovirus
ABY67706,494652,Porcine hokovirus,EU200677.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2,Ungulate tetraparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/EU200677.1,Tetraparvovirus
AEI99166,1511887,Porcine bocavirus H18,HQ291308.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 4,Ungulate bocaparvovirus 4,http://www.ncbi.nlm.nih.gov/nuccore/HQ291308.1,Bocaparvovirus
AIC77176,1507809,Tumor virus X,KJ631100.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Rodent protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/KJ631100.1,Protoparvovirus
AEP95278,1093101,Gray fox amdovirus,JN202450.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 2,Carnivore amdoparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/JN202450.1,Amdoparvovirus
AGW95844,1399967,Pigeon parvovirus A,KC876004.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KC876004.1,
